Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12
name;description;key_skills;experience_id;premium;employer_name;salary_from;salary_to;salary_gross;salary_currency;area_name;published_at
Web-прогр�;<p>NEW! Web-программист(без опыта и с опытом)</p> <p> </p> <p><strong>Обязанности</strong>:</p> <p>- верстка сайтов на основе готовых макетов PHP, HTML и CSS</p> <p>- подключение собственной системы управления(обучение)</p> <p>- развитие собственного движка и системы управления</p> <p>- установка движка организации на проектах (обучение)</p> <p><br /><strong>Требования:</strong></p> <ul> <li>PHP7.4+ (знания ООП и паттернов проектирования) MySQL(MariaDB,PostgresQL)</li> <li>CSS(LESS,SASS)</li> <li>JS(TypeScript,NodeJS)</li> <li>знание основ Figma / Photoshop(для верстки с макетов из PSD)</li> <li>остальное при собеседовании.</li> </ul> <p><br /><strong>Условия:</strong></p> <p>- работа с офиA;8 G5;>25: 3>B>2 CG8BLAO 8 @072820BLAO, >= ?@540= 8 ;N18B ?@>3@0<<8@>20BL 8 25@AB0BL A09BK <K 53> =0CG8< 8 ?>43>B>28< 70 AG5B :><?0=88.</strong></p> <p> </p> <p>A?KB0B5;L=K9 A@>: >B 2 4> 4 =545;L(?@8 A>15A54>20=88)</p> <p>0@?;0B0 2 @070 2 <5AOF: 020=A 8 >:;04.</p> <p><strong>:;04 D8:A8@>20==K9</strong> + <strong>% >B >1J5<0</strong> 2K?>;=5==KE 7040G 70 <5AOF.</p>;"#?@02;5=85 ?@>5:B0<8
545=85 ?5@53>2>@>2
 07@01>B:0 
 07@01>B:0 B5E=8G5A:8E 7040=89
#?@02;5=85 8=B5@=5B-?@>5:B0<8
 07@01>B:0 :>=F5?F88
=D>@<0F8>==K5 B5E=>;>388
@30=870B>@A:85 =02K:8
@>2545=85 ?@575=B0F89
1CG5=85 ?5@A>=0;0
=3;89A:89 O7K:
 01>B0 2 :><0=45
>41>@ ?5@A>=0;0";noExperience;False;AB0H5=:>2 . .;30000.0;80000.0;False;RUR;#;LO=>2A:;2022-05-31T17:32:31+0300
!?5F80;8AB 2 >B45; 8=D>@<0F8>==>3> @0728B8O (Junior);"<strong>Обязанности:</strong> <ul> <li> <p>Работа с конфигурацией 1С Предприятие 8.3;</p> </li> <li> <p>Создание отчетов в 1С;</p> </li> <li> <p>Прямое общение с пользователями для формирования ТЗ;</p> </li> <li> <p>Прямое общение с разработчиками для объяснения ТЗ;</p> </li> <li> <p>Администрирование 1С, контроль производительности, оптимизация работы;</p> </li> <li> <p>Обнаружение и исправление сбоев 1С, СУБД;</p> </li> <li> <p>Консультация и поддержка пользователей</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Знание основ бухгалтерского, финансового, налогового, кадрового учета;</p> </li> <li> <p>Опыт работы с типовыми конфигу�li> </ul> <strong>Условия:</strong> <ul> <li>Официальное оформление с полным соблюдением ТК РФ;</li> <li>Рабочий день с 09-00 до 17-30 по графику 5/2;</li> <li>Оборудованное рабочее место - производительный компьютер, телефон, корпоративная мобильная связь;</li> <li>Возможность по�";"1С: Предприятие 8
ERP-системы на базе 1С
1С програм";between1And3;False;!B@>90B><AD5@0;45000.0;;False;RUR;>@>=56;2022-05-31T17:32:41+0300
=65=5@ ?> =03@C7>G=><C B5AB8@>20=8N;"<p> </p> <p><strong>Вам предстоит:</strong></p> <ul> <li>Работать в составе команды опытных инженеров нагрузочного тестирования (будет daily meeting), которая занимается тестированием модельных подсистем в составе большой микросервисной АС.</li> <li>Разрабатывать и актуализировать средства автоматизированного нагрузочного тестирования. Скрипты, заглушки, инструменты тестирования и обработки данных.</li> <li>Тестировать компоненты ПО в соответствии с планом работ релизного цикла и требованиями методик испытания.</li> <li>Документировать ход тестирования (confluence) и регистрировать деф:</strong></p> <p> </p> <ul> <li>Опыт выполнения проекта по нагрузочному тестированию от 1 года (разработка скриптов, эмуляторов, утилит генерации тестовых данных).</li> </ul> <ul> <li>Знание одного из языков программирования JAVA, C#, Perl, Python, C++ на уровне не ниже среднего.</li> <li>Опыт работы с одной из СУБД: Oracle, MSSQL.</li> <li>Опыт работы с ОС Unix (HP-UX, AIX), Windows.</li> <li>Опыт работы с технологиями/протоколами: WEB, SOAP, REST, JSON, XML</li> <li>Опыт работы c git</li> <li>Опыт работы с Jira, Confluence</li> <li>Знание SQL на уровне DML/DDL</li> <li>Знание основ регулярных выражений Perl</li> <li>Опыт работы (на уровне анализа информации на предна�li>Опыт в IT подразделениях банковской сферы.</li> <li>Знание методологий тестирования</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Возможность работать в офисе или по смешанному формату (офис/удаленка);</li> <li>Быструю адаптацию благодаря программам обучения;</li> <li>Команду Agile, готовую поддержать ваши инициативы;</li> <li>Прозрачную систему бонусов и премий;</li> <li>Мощное железо;</li> <li>Доступ к базе знаний Корпоративного университета;</li> <li>Масштабные и высоконагруженные проекты с использован";"Java
SQL
Git
Python
Atlassian Jira
C/C++";between1And3;False;! ;;;;;!0=:B-5B5@1C@3;2022-05-31T17:32:49+0300
!B065@ 187=5A-0=0;8B8:;"<p><strong>Чем предстоит заниматься?</strong></p> <ul> <li>Подготовка описания задач;</li> <li>Выявление и детализация требований от бизнес-заказчиков;</li> <li>Участие во встречах с бизнесом, технической командой и другими заинтересованными сторонами;</li> <li>Участие в разработке и оценке решения по задаче;</li> <li>Консультирование команды задачи во время тестирования.</li> </ul> <strong>Мы ожидаем от Вас:</strong> <ul> <li>В том числе выпускник/студент последнего года обучения экономического или технического ВУЗов;</li> <li>Аналитические способности, умение структурировать информацию;</li> <li>ЗнанD>@<;5=85 2 HB0B 0=:0;</p> </li> <li> <p>! 8 15A?;0B=K5 >154K (?@8 @01>B5 2 >D8A5);</p> </li> <li> <p>"@5=8=38 ?> @0728B8N A>DB A:8;;A;</p> </li> <li> <p>>7<>6=>ABL ?@>4>;68BL :0@L5@C 2 @0<:0E :@C?=59H53> <564C=0@>4=>3> 0=:0.</p> </li> </ul>";;noExperience;False;UniCredit Bank;;;;;>A:20;2022-05-31T17:32:50+0300
Middle system analyst / системный ан;"<p><strong>Cotvec </strong>- IT-компания, которая занимается консалтингом и разработкой программного обеспечения для организаций банковско-финансового сектора.</p> <p><em>Мы гордимся нашей молодой, сплоченной и профессиональной командой, которая с каждым днем повышает свои компетенции, генерирует яркие идеи и находит эффективные пути реализации даже самых нестандартных задач.</em></p> <p>Мы ищем <strong>middle/middle+ system analyst</strong></p> <p><strong>Обязанности:</strong></p> <p>- Сбор, формализация, согласование, оценка (трудозатраты) требований к функционалу разрабатываемой системы;<br />- Формированиluence, в т.ч. детальных схем процессов и алгоритмов;<br />- Коммуникация с другими командами разработки, аналитиками.</p> <p><strong>Необходимые навыки:</strong></p> <p>- Понимание принципов разработки ПО: этапы и участие в них аналитика, клиент - серверное взаимодействие, особенности работы веб и мобильных приложений;<br />- Знания/практический опыт работы с UML (диаграмма баз данных, диаграмма состояний и переходов, диаграмма последовательности и др.).<br />- Знание/практический опыт работы с SQL<br />- Опыт постановки задач разработчикам.<br />- <strong>Понимание технологий интеграции REST,B5:BC@=KE @5H5=89 8 >?8A0=8O 8=B53@0F8>==KE 2708<>459AB289</p> <p><strong>#A;>28O:</strong></p> <p>- ;O A>B@C4=8:>2 :><?0=88 ?@54CA<>B@5=0 :><?5=A0F8O <548F8=A:>3> >1A;C6820=8O 2 @0<:0E ?@>3@0<<K >1@>2>;L=>3> <548F8=A:>3> AB@0E>20=8O;<br />- 0@01>B=0O ?;0B0 ?@82O70=0 : :C@AC 4>;;0@0 (?> C@>2=N 70@01>B=>9 ?;0BK >BB0;:8205<AO >B ?>65;0=89 :0=4840B0);<br />- >7<>6=>ABL @01>B0BL ?> 381@84=><C 3@0D8:C @01>BK 8;8 C40;Q==> (>1AC6405BAO A @C:>2>48B5;5<);<br />- 29 :0;5=40@=KE 4=59 B@C4>2>3> >B?CA:0;<br />- 100% >?;0B0 1>;L=8G=>3> A ?5@2>3> 4=O;<br />- #NB=K9 >D8A A >1>@C4>20==K< @01>G8< <5AB><, :CE=59 8 7>=>9 >B4KE0;<br />- 0B5@80;L=K5 2K?;0BK : ?0<OB=K< 40B0<;<br />- =5H=55 8 2=CB@5==55 :>@?>@0B82=>5 >1CG5=85;<br />- >@?>@0B82=0O ?@>3@0<<0 ;>O;L=>AB8;<br />- >@?>@0B82=0O 181;8>B5:0;<br />- >@?>@0B82=K5 <5@>?@8OB8O, B8<18;48=38.</p>";"UML
XML
SQL
Atlassian Jira
SOAP
REST
Xsd
JSON API";between1And3;False;>B25:;;;;;8=A:;2022-06-27T17:33:08+0300
!5@28A=K9 8=65=5@;"<p><strong>СФЕРА ДЕЯТЕЛЬНОСТИ КОМПАНИИ «ЛАНТЕР»</strong> - поставка POS-терминалов, создание интеграционных платежных решений для систем самообслуживания (паркоматов, киосков самообслуживания), создание программных продуктов и решений для эквайринга.</p> <p><strong><em>Обязанности</em></strong></p> <ul> <li>Техническое обслуживание POS-оборудования на территории Заказчика;</li> <li>Замена расходных материалов;</li> <li>Диагностика неисправностей;</li> <li>Заполнение сопутствующей документации.</li> </ul> <p><strong><em>Условия</em></strong></p> <ul> <li>Проектная деятельность, оформление по ГПХ или по договору сB@>=8:8 8;8 4@C3>3> >1>@C4>20=8O ?@825BAB2C5BAO;</li> <li>1CG05<>ABL, >B25BAB25==>ABL, ?C=:BC0;L=>ABL.</li> </ul>";""5E=8G5A:>5 >1A;C6820=85
0AB@>9:0 
 5<>=B 
0AB@>9:0 A5B52KE ?>4:;NG5=89
